"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","df.int","iterations","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"21","print_S",249068.851512816,3110704.69386568,0.00869983255030311,15710.6297669984,0.00554161274287491,3110704.69386568,0.00869983255030311,15710.6297669984,0.00554161274287491,TRUE,0.7527338,0.878217197241767,0.938305203646911,0.962676454617607,0.0779892199765445,0.329879309436257,0.315299290145063,0.329879309436257,0.00939063886906176,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_142_3",1,142,3,1,2259,3,5084592.32,62772.744691358,0.0795755926839583,0.0746005673579035,0.0124803926160947,0.611790385166157,1.63454677328479,783.428499338022,0.0451776311223284,2,FALSE,0.678574086342274,0.0186445493362042,0.429417933019047,0.928242509680955,0.453717933392174
"22","facebook_S",149938.844093351,7975474.85763584,0.022305330334767,40280.1760486659,0.0142080324078045,7975474.85763584,0.022305330334767,40280.1760486659,0.0142080324078045,TRUE,0.7527338,0.878217197241767,0.938305203646911,0.962676454617607,0.0779892199765445,0.329879309436257,0.315299290145063,0.329879309436257,0.00939063886906176,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_142_3",1,142,3,1,2259,3,12302572.72,135193.106813187,0.192539431702461,0.191266933984965,0.00373132509625163,0.64827699369501,1.54255049882344,504.449432292271,0.0289184522878827,2,FALSE,0.533223717914483,0.0142828367341774,0.341967863737473,0.724097238869242,0.482818505031498
"23","search_S",146727.447710655,5725066.1319999,0.016011522014941,28914.4754141409,0.010199007155342,5725066.1319999,0.016011522014941,28914.4754141409,0.010199007155342,TRUE,0.7527338,0.878217197241767,0.938305203646911,0.962676454617607,0.0779892199765445,0.329879309436257,0.315299290145063,0.329879309436257,0.00939063886906176,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_142_3",1,142,3,1,2259,3,8975900,53747.9041916168,0.140475876416369,0.137297887019279,2.72567797391059e-05,0.637826416515324,1.56782468412544,1.46499478598946,0.000213568528453445,2,FALSE,0.646643686146597,0.0156083021717092,0.438082581069162,0.855674048839068,0.368431206033228
"24","newsletter",239514.845809597,6975564.70707737,0.0195088415223247,35230.124783219,0.0124267270839684,6975564.70707737,0.0195088415223247,35230.124783219,0.0124267270839684,TRUE,0.7527338,0.878217197241767,0.938305203646911,0.962676454617607,0.0779892199765445,0.329879309436257,0.315299290145063,0.329879309436257,0.00939063886906176,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_142_3",1,142,3,1,2259,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.10376013887862
"25","(Intercept)",1098950.62721009,217592224.187597,0.607601065944033,1098950.62721009,0.35279276402785,217592224.187597,0.607601065944033,1098950.62721009,0.35279276402785,TRUE,0.7388171,0.881126296156253,0.947118080065275,0.959524195953585,0.0770600998974641,0.311723443618649,0.346630424293275,0.311723443618649,0.0149118914962337,0,130183.032233908,0.00188829,65481090.2648517,1e-04,"1_143_10",1,143,10,1,2282,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"26","trend",-0.108056611792487,-38477673.1483313,-0.107444442499085,0,0,-38477673.1483313,-0.107444442499085,0,0,FALSE,0.7388171,0.881126296156253,0.947118080065275,0.959524195953585,0.0770600998974641,0.311723443618649,0.346630424293275,0.311723443618649,0.0149118914962337,0,130183.032233908,0.00188829,65481090.2648517,1e-04,"1_143_10",1,143,10,1,2282,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"27","season",0.320207809996043,-2438456.17876345,-0.00680910624911448,-12315.4352462801,-0.00395358656991835,-2438456.17876345,-0.00680910624911448,-12315.4352462801,-0.00395358656991835,FALSE,0.7388171,0.881126296156253,0.947118080065275,0.959524195953585,0.0770600998974641,0.311723443618649,0.346630424293275,0.311723443618649,0.0149118914962337,0,130183.032233908,0.00188829,65481090.2648517,1e-04,"1_143_10",1,143,10,1,2282,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"28","holiday",0.805749216492657,2302903.67045918,0.00643059158093381,60602.7281699785,0.01945510876407,2302903.67045918,0.00643059158093381,60602.7281699785,0.01945510876407,TRUE,0.7388171,0.881126296156253,0.947118080065275,0.959524195953585,0.0770600998974641,0.311723443618649,0.346630424293275,0.311723443618649,0.0149118914962337,0,130183.032233908,0.00188829,65481090.2648517,1e-04,"1_143_10",1,143,10,1,2282,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"29","competitor_sales_B",0.120370341428005,129830345.023771,0.362536190449132,655708.813251369,0.210500198004026,129830345.023771,0.362536190449132,655708.813251369,0.210500198004026,TRUE,0.7388171,0.881126296156253,0.947118080065275,0.959524195953585,0.0770600998974641,0.311723443618649,0.346630424293275,0.311723443618649,0.0149118914962337,0,130183.032233908,0.00188829,65481090.2648517,1e-04,"1_143_10",1,143,10,1,2282,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"30","events",0.735933839708199,2147751.2488624,0.00599734642661833,1073875.6244312,0.344743012456364,2147751.2488624,0.00599734642661833,1073875.6244312,0.344743012456364,TRUE,0.7388171,0.881126296156253,0.947118080065275,0.959524195953585,0.0770600998974641,0.311723443618649,0.346630424293275,0.311723443618649,0.0149118914962337,0,130183.032233908,0.00188829,65481090.2648517,1e-04,"1_143_10",1,143,10,1,2282,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
