client_name,brand_name,week,campaign_type,primary_search_strategy,spend,impressions,clicks,attributed_sales,sales
KIND,KIND,5/31/2020,sponsoredProducts,Competitive,275.73,193037,97,451.85,894105.19
KIND,KIND,11/4/2018,sponsoredBrands,Branded,3193.8,98262,1159,11495.16,734536.96
KIND,KIND,11/4/2018,sponsoredBrands,Category,4516.31,212414,968,6241.31,734536.96
KIND,KIND,11/4/2018,sponsoredBrands,Competitive,508.97,82963,185,272.89,734536.96
KIND,KIND,11/4/2018,sponsoredBrands,Uncategorized,NULL,NULL,NULL,NULL,734536.96
KIND,KIND,11/4/2018,sponsoredProducts,Auto,1739.26,1247633,1291,5815.02,734536.96
KIND,KIND,11/4/2018,sponsoredProducts,Branded,17070.06,1983584,8393,90383.15,734536.96
KIND,KIND,11/4/2018,sponsoredProducts,Category,23412.8,4654680,7097,35709.85,734536.96
KIND,KIND,11/4/2018,sponsoredProducts,Competitive,2404.08,1002475,733,2074.19,734536.96
KIND,KIND,9/26/2021,sponsoredBrands,Branded,602.74,42694,281,1696.71,1885157.04
KIND,KIND,9/26/2021,sponsoredBrands,Category,2510.06,319357,639,1279.77,1885157.04
KIND,KIND,9/26/2021,sponsoredBrands,Competitive,0,0,0,0,1885157.04
KIND,KIND,9/26/2021,sponsoredBrands,Uncategorized,0,0,0,0,1885157.04
KIND,KIND,9/26/2021,sponsoredBrandsVideo,Branded,0,0,0,0,1885157.04
KIND,KIND,9/26/2021,sponsoredBrandsVideo,Category,684.32,98295,361,668.3,1885157.04
KIND,KIND,9/26/2021,sponsoredBrandsVideo,Competitive,0,0,0,0,1885157.04
KIND,KIND,9/26/2021,sponsoredDisplay,Category,792.79,127725,242,994,1885157.04
KIND,KIND,9/26/2021,sponsoredProducts,Auto,1056.39,484425,327,1337.19,1885157.04
KIND,KIND,9/26/2021,sponsoredProducts,Branded,27292.46,2921133,14677,145537.79,1885157.04
KIND,KIND,9/26/2021,sponsoredProducts,Category,57155.51,22304354,13551,48623.3,1885157.04
KIND,KIND,9/26/2021,sponsoredProducts,Competitive,16.71,6816,12,45.3,1885157.04
KIND,KIND,9/26/2021,sponsoredProducts,Uncategorized,0,0,0,0,1885157.04
KIND,KIND,3/1/2020,sponsoredBrands,Branded,1371.69,65969,1156,14040.18,1144151.48
