DATE,display_S,display_I,b_branded_S,b_branded_I,b_category_S,b_category_I,b_competitive_S,b_competitive_I,p_auto_S,p_auto_I,p_brand_S,p_brand_I,p_category_S,p_category_I,p_competitive_S,p_competitive_I,revenue
1/5/2020,0,0,919.93,33088,1023.07,639137,0,0,9296.07,4319457,1155.15,138076,19072.31,4744841,1767.39,615997,82029.34
1/12/2020,0,0,878.41,34367,1052.82,571964,0,0,9842.83,4710038,1580.72,162710,20651.73,5040875,1577.82,583780,93320.06
1/19/2020,0,0,778.77,32790,1170.43,596321,0,0,8965.55,4312708,1641.12,187349,17845.86,3625954,1422.55,413012,83018.15
1/26/2020,0,0,579.19,35273,818.34,557328,0,0,5913.1,2613052,1250.35,153632,11893.66,2356812,1161.92,330486,58255.61
2/2/2020,0,0,618.49,45708,959.19,741517,0,0,3867.85,1752692,1046.06,101145,13820.32,2580228,1806.69,455713,53155.92
2/9/2020,0,0,859.35,47879,984.37,548837,0,0,4333.06,1876898,1136.7,100901,16217.13,2766280,2119.69,585409,62189.13
2/16/2020,0,0,923.68,45728,1293.16,602717,0,0,4040.37,1486251,1129.81,95665,15952.82,2613351,1994.11,563749,66236.1
2/23/2020,0,0,1022.29,70855,1448.84,759098,0,0,4084.38,1545062,1156.44,103417,17856.46,2954272,1717.82,353844,79740.68
3/1/2020,0,0,2011.59,79130,1778.76,923563,0,0,5354.18,2062488,2331.74,217147,17404.09,3163118,1694.52,461106,98804.72
3/8/2020,0,0,1472.94,60185,1614.49,810370,0,0,4582.67,1752365,3126.57,303665,16333.5,2738063,2366.75,484664,119566.71
3/15/2020,0,0,3738.5,85400,644.03,62762,0,0,5730.3,1192967,2159.21,138784,12972.71,2178634,2582.38,358133,118895.05
3/22/2020,0,0,2943.07,86733,1130.22,82046,0,0,3773.11,1131661,2213.67,114720,14222.08,1777491,2091.85,243871,121919.18
3/29/2020,1400.11,136613,1978.99,91198,1063.37,62716,0,0,2935.75,653756,2160.94,82358,11398.14,1158928,2155.81,217739,131287.86
4/5/2020,0,0,1643.15,88603,288.22,16209,0,0,1169.35,299143,2067.77,83379,8499.71,758240,1371.66,100140,82383.78
4/12/2020,0,0,2059.68,112241,138.78,7480,0,0,1578.38,641256,2671.46,105592,12112.02,1044929,1707.31,151805,97172.61
4/19/2020,0,0,3539.25,336004,388.9,88911,0,0,2441.45,767226,2998.07,140107,14533.03,1269955,1907.85,209689,96087.88
4/26/2020,0,0,4209.84,858625,394,31065,0,0,4914.84,1263389,2444.01,125032,18858.78,2169145,1538.98,173770,103737.22
5/3/2020,0,0,2194.67,226753,510.69,29072,0,0,5807.65,1894628,3319.71,174472,16648.06,1968058,1838.48,215974,100032.88
5/10/2020,0,0,2124.68,163735,489.35,19017,0,0,5595.19,2048560,3084.97,174671,10753.72,1347328,1462.05,175685,93991.68
5/17/2020,0,0,1682.26,163493,426.66,19379,0,0,5748.19,2793487,3149.81,177516,8285.03,1109222,1144.86,153342,78094.97
5/24/2020,0,0,1408.18,110674,288.28,17960,0,0,5293.31,2615990,3178.95,166431,7440.57,868245,925.55,88538,62188.73
5/31/2020,0,0,349.55,20445,45.13,2346,0,0,7537.44,4687154,3354.2,197855,6780.19,1191204,544.96,49636,62192.65
6/7/2020,0,0,24.38,242,82.82,4474,0,0,8615.95,4659816,4450.41,209887,8006.81,904292,805.6,84339,68323.46
6/14/2020,0,0,77.83,1469,361.98,19595,0,0,10050.41,5017304,5349.52,304773,8826.13,785039,826.35,113399,75580.75
6/21/2020,2772.03,400158,731.73,18592,487.74,17597,0,0,12808.27,6897577,6607.9,722991,20181.94,2590760,4856.84,1094541,116000.81
6/28/2020,9460.91,1201841,433.44,10327,111.39,3278,0,0,8185.5,3964977,5313.99,375624,15250.62,1734818,5141.26,1096942,104262.58
7/5/2020,11629.24,1352442,30.58,597,0,0,0,0,5588.09,2349583,4825.68,368974,10826.53,1459073,5619.6,1381219,100297.54
7/12/2020,10763.78,1054502,3.24,40,0,0,0,0,5920.85,2350696,6063.91,453825,9959.7,1279591,6163.16,1275508,114310.81
7/19/2020,8648.83,791710,0,4,0,0,0,0,5878,2401686,6173.45,540058,9613.08,1151760,5753.18,1404182,113499.38
7/26/2020,4349.12,372286,110.92,1904,0,0,0,0,5798.64,2843124,5971.22,542642,9593.3,1306711,5935.71,1413084,104236.97
8/2/2020,0,0,116.71,2241,0,0,0,0,5804.26,3238052,5782.82,458526,9797.97,1303660,5608.44,1538630,109677.73
8/9/2020,0,0,18.02,432,0,0,0,0,5800.12,3504165,5535.39,500942,9794.47,1321967,5465.42,1471538,91543.55
8/16/2020,0,0,100.28,2890,0,0,0,0,9261.75,4997734,6070.8,580455,9662.86,1707227,5196.22,1405545,96419.15
8/23/2020,2526.53,280620,420.43,13734,0,0,0,0,10995.62,4016982,5363.17,506064,8846.71,1793666,5172.75,1449831,80559.03
8/30/2020,4007.16,451842,305.42,15589,0,0,0,0,7360.17,3991357,7586.56,660168,9673.07,2324612,5233.62,1249807,109499.17
9/6/2020,0,0,85.85,4320,0,0,0,0,4386.97,2564615,7651.7,757492,13129.27,2964628,5196.35,1285515,109106.02
9/13/2020,0,0,44.93,1343,0,0,0,0,5015.16,3118688,6880.21,699776,15932.75,3158624,5038.22,1414792,96969.02
9/20/2020,5304.13,560211,16.5,253,0,0,0,0,5354.94,3544667,6977.06,612770,18807.29,4597024,5315.14,1437577,106562.27
9/27/2020,15833.14,1650589,53.87,1377,0,0,0,0,10974.24,4133763,8513.44,801422,22725.63,4290029,6095.67,1711847,148408.48
10/4/2020,4600.22,399397,124.34,5487,0,0,0,0,4092.87,2255910,8366.42,614597,20633.88,4507038,5577.39,1886733,129790.48
10/11/2020,4196.15,369443,392.76,13212,0,0,0,0,4145.16,2556909,7343.28,383863,20827.11,4094212,4355.17,886150,129932.42
10/18/2020,5030.37,423226,444.66,18590,0,0,0,0,3409.04,2065223,6712.94,279942,15991.91,3633775,2771.58,372252,124265.06
10/25/2020,5556.66,462835,616.54,22140,0,0,0,0,2293.65,1140713,3764.77,143170,9415.07,2291461,1763.09,234608,99045.99
11/1/2020,11485.25,908795,432.32,13707,0,0,0,0,2089.34,991256,4041.16,123967,12537.35,2463343,1178.42,158062,109613.96
11/8/2020,12300.45,967547,546.58,17331,0,0,0,0,2158.58,904871,5251.11,161687,23389.6,3865401,1194.57,204335,146192.91
11/15/2020,24634.65,3685011,541.58,19067,0,0,0,0,2417.12,1145507,5326.35,187181,23716.94,4052325,1193.87,184225,151083.78
11/22/2020,6646.65,1160696,449.74,15543,0,0,0,0,4314.19,2673334,5101.34,196396,29179.61,4603640,1641.79,308230,131632.9
11/29/2020,4991.76,1087488,455.31,19377,0,0,0,0,7913,4308036,5240.86,212248,49020.9,6675608,2405.2,352404,146038.88
12/6/2020,0,0,423.69,18660,227.61,3689,0,0,3150.29,2317077,4670.15,238314,11809.89,1857101,2758.04,397802,111448.3
12/13/2020,16868.73,3127573,461.54,18022,673.93,4525,0,0,1768.65,1177408,4829.05,251367,11905.09,2016964,2345.27,369467,99127.27
12/20/2020,20499.94,3926660,375.98,14364,982.05,8172,0,0,1332.93,807098,4139.09,189557,12291.19,2119731,1966.24,305346,87716.05
12/27/2020,973.18,205912,253.08,12676,1142.2,10569,0,0,1689.45,879992,4994.3,197856,15383.56,2151534,2283.65,331482,120589.92
1/3/2021,14527.6,4767715,0,0,862.43,6953,0,0,2983.26,2411803,5173.93,217302,16845.72,2611719,2068.24,337211,137313.12
1/10/2021,15196.36,5039984,29.99,498,542.42,3715,0,0,5448.67,3350045,4911.36,231568,24920.31,2842393,2482.16,368048,160792.78
1/17/2021,15078.45,5102005,49.27,1000,603.92,4365,0,0,6706.9,4145122,5253.05,245423,32132.31,3087352,2724.32,387715,174302.25
1/24/2021,9923.53,3082622,87.91,1680,1001.22,12232,0,0,7037.97,4798164,6484.86,269462,35807.55,3532249,2954.58,395348,174204.7
1/31/2021,15530.48,4960002,112.9,2627,1519.08,25595,0,0,7365.06,4811943,6650.15,228812,32861.81,3758712,2806.08,428401,164042.86
2/7/2021,13371.76,3600010,121.67,3176,2148.45,54334,0,0,5900.73,3971369,6037.01,208678,26377.17,3337901,2117.73,332312,149619
2/14/2021,11785.81,3279709,323.91,7934,4451.86,191022,0,0,4753.32,3401711,6083.15,210121,22085.5,2617565,1699.47,256142,142812.85
2/21/2021,10112.67,2607541,288.15,8255,5748.95,198740,0,0,5016.36,3341404,4614.04,220789,23714.15,3169800,1640.8,282292,148240.38
2/28/2021,12499.8,3566940,254.6,8114,5756.74,212444,0,0,4850.72,3000401,4992.29,221550,22751.31,2738563,1490.62,283950,144366.48
3/7/2021,12616.89,3808594,263.2,8107,6451.7,221277,0,0,5155.04,3318171,5461.32,262896,19220.26,2798683,2089.77,425717,136888.13
3/14/2021,13288.8,3755047,291.99,8370,6320.46,219710,0,0,4608.87,2900873,5105.65,310752,21719.59,3320777,2210.59,486832,140501.55
3/21/2021,12384.36,3113351,285.49,8324,5657.67,162623,0,0,3154.29,2577729,4118.55,266986,21026.36,3727597,2203.77,382710,135706.03
3/28/2021,14452.26,3658510,328.05,7952,5111.09,150675,0,0,3218.73,2058231,3594.96,194410,17875.71,2395249,2006.24,249902,124249.46
4/4/2021,14825.77,4076282,276.51,7978,4314.54,111344,0,0,1874.32,1103688,3261.12,191440,16737.51,2181216,2016.13,221509,121441.74
4/11/2021,12166.34,3385034,280.39,7411,6303.83,141507,0,0,3026.48,1548819,4228.52,217059,29068.51,2971784,1833.44,201001,140233.15
4/18/2021,6383.39,1523691,227.18,7226,8287.34,191130,0,0,4596.59,2015158,4638.21,190188,36049.87,2662414,2712.2,241759,148075.98
4/25/2021,889.31,195602,69.8,1968,1753.64,42957,0,0,2450.26,620269,1094.27,52799,6352.67,474617,414.33,38715,61002.69
5/2/2021,6738.07,1668231,253.21,7390,5013.26,134037,0,0,2660.29,974263,2551.01,82803,14376.06,1138488,1813.06,124841,101731.18
5/9/2021,7447.09,1882778,372.59,8938,6535.76,135358,0,0,2504.29,732391,3150.26,109330,16500.19,1296749,3228.19,186385,123586.3
5/16/2021,7404.3,1853526,347.45,8558,6219.86,127958,0,0,2451.76,678442,2779.07,90579,13352.29,1224989,2849.44,159716,116281.26
5/23/2021,6893.06,1709477,435.72,8721,4875.81,121105,0,0,2341.37,597990,2596.47,82471,12319.45,1077864,2256.61,145876,115139.83
5/30/2021,6337.75,1573862,364.31,8495,4401.27,116062,0,0,2106.26,605870,1965.64,80623,12211.88,963103,1755.59,107063,104611.95
6/6/2021,5729.78,1422100,312.83,8877,3695.74,125138,0,0,2097.4,644240,2043.21,81202,12202.81,902045,1887.03,159825,101201.13
6/13/2021,5013.02,1207158,288.81,8365,4517.23,127779,0,0,1912,729018,1681.4,84583,17871.92,1019723,2226.02,154837,99982.81
6/20/2021,5656,1363041,371.37,10493,7169.8,173787,0,0,1298.73,697260,1945.65,111967,19031.24,1094450,2307.32,183231,115130.18
6/27/2021,5517.89,1288862,270.35,7855,6854.38,156900,0,0,1361.8,633228,1281.22,83871,19682.93,1092665,1944.62,179628,104387.62
7/4/2021,3027.4,619777,252.1,8179,4493.38,126180,0,0,1117.36,496485,1258.49,88568,13469.85,867742,1399.79,122205,93259.98
7/11/2021,2456.48,495526,293.14,9037,4351.26,132242,0,0,958.29,350818,1245.55,97027,11580.14,1152960,857.17,90298,96611.23
7/18/2021,7931.69,2887884,299.29,8512,4924.21,123185,0,0,920.28,249513,1442.38,97929,10581.33,988439,430.39,73040,94467.08
7/25/2021,3775.08,1484853,261.31,8388,3930.86,110476,0,0,534.9,209584,1880.16,98204,12187.81,945643,408.81,80198,87921.89
8/1/2021,2538.13,539460,316.55,8797,4203.91,127406,0,0,993.49,352350,2224.14,103058,15730.53,1205157,377.03,78151,108397.25
8/8/2021,7620.15,2602844,300.91,9318,4924.99,140492,0,0,995.8,395198,2062.08,88134,16682.1,1245561,471.83,64682,108594.76
8/15/2021,6321.48,2093412,338.84,10181,3945.78,131743,0,0,988.05,346164,2317.32,89970,18018.74,1227724,461.46,67797,110689.61
8/22/2021,2988.18,931086,283.14,18159,3079.98,105360,0,0,934.19,253820,1698.15,80205,18653.48,1123613,426.48,80428,104102.02
8/29/2021,5918.88,2083423,279.61,40504,2641.43,104882,0,0,675.96,216371,1552.15,76135,16455.69,1004553,437.18,64481,85767.38
9/5/2021,8010.91,2816512,375.73,126781,3522.81,142263,0,0,889.27,258179,1681.6,88466,16713.94,1050520,436.04,60136,94255.91
9/12/2021,4343.48,1315084,379.68,105896,3811.55,156029,0,0,950.03,289180,2131.57,113451,17468.77,1217664,390.33,59153,101167.83
9/19/2021,1696.4,375812,345.36,66542,3752.76,153286,0,0,1058.58,373102,2258.54,113003,16949.2,1267556,425.21,60917,95812.47
9/26/2021,1873.93,435887,389.12,79145,3646.09,157102,0,0,1280.76,468938,1984.44,120895,15899.4,1430698,326.61,65027,93429.99
10/3/2021,3968.06,910252,375.71,78671,4040.72,162415,0,0,1058.11,294722,1822.72,84091,13574.39,1332476,383.59,68192,100565.63
10/10/2021,990.64,215314,364.11,52823,4315.99,140960,0,0,950.49,273053,1992.18,96820,12592.99,1193168,322.1,62119,99531.89
10/17/2021,995.23,188766,346.53,10154,4389.83,122940,0,0,967.93,299721,2009.09,86897,12695.14,1023151,240.57,49221,93725.77
10/24/2021,2317.28,413222,427.42,9532,3831.84,122812,0,0,1732.71,931973,1880.91,84595,14851.44,1009814,169.86,30384,98160.52
10/31/2021,4812.28,778491,493.09,9135,3287.34,122987,0,0,2056.85,964066,2117.39,99981,19371.61,946513,193.96,30717,126130.09
11/7/2021,4401.43,699297,519.6,9166,2806.15,100057,0,0,1513.77,431934,2421.46,101286,11273.68,829406,333.15,59243,111167.36
11/14/2021,2231.88,339198,503.39,9566,3201.22,127827,0,0,1630.04,534189,2313.86,143105,11943.31,1343100,356.94,61274,115223.37
11/21/2021,0.1,23,490.44,8239,2255.79,86566,0,0,1845.16,475280,1889.42,78767,9862.92,766708,202.33,33662,90114.54
11/28/2021,1435.55,339984,480.6,8828,2399.63,95612,0,0,1608.07,345126,1792.73,88710,9082.48,777724,229.08,40372,84152.8
12/5/2021,3205.83,630792,371.99,9018,3486.69,141358,0,0,1831.49,367400,3245.65,93730,11238.52,843702,479,84588,103895.55
12/12/2021,4877.94,907613,418.06,8943,3210.67,135047,0,0,1820.87,395562,4830.8,64288,11728.56,1112654,603.48,97933,100105.67
12/19/2021,3117.39,582070,296.98,7394,2898.31,120255,0,0,1743.73,526265,1254.32,78805,8769.23,794620,237.08,49100,86986.14
12/26/2021,3106.61,642316,400.46,8398,3188.44,121374,0,0,680.62,335864,1265.08,76577,11657.36,763888,88.16,36926,91713.58
1/2/2022,5252.87,1129136,451.26,10027,4455.26,170760,0,0,2146.43,741877,1676.86,127917,20384.85,1349625,606.9,112060,144628.27
1/9/2022,3398.26,657244,467.75,10407,4239.99,165727,0,0,2120.54,696275,1378.56,101029,14897.17,1105639,626.55,95095,126561.09
1/16/2022,1661.43,337744,328.77,10484,3785.14,157801,0,0,2053.55,677107,1590.83,101780,13494.21,1270833,462.73,88949,109384.01
1/23/2022,1795.77,407844,231.99,6000,2249.9,97122,0,0,616.94,180482,1052.31,57080,5072.26,606412,103.68,46464,57284.02
1/30/2022,515.4,134396,350.09,7699,2216.76,94395,0,0,704.01,300262,1050.87,56755,8245.46,849494,260.52,62201,71226.13
2/6/2022,0,0,336.1,8304,2528.6,104150,0,0,1012.93,494708,1165.09,68447,11058.13,1206303,281.61,84201,76368.88
2/13/2022,7428.5,3634210,378.37,7791,2830.41,106285,0,0,969.78,617004,1216.6,62090,10875.07,1176310,257.78,71349,88274.07
2/20/2022,10709.12,5297739,309.74,8109,3632.91,138730,0,0,980.46,637251,1198.33,59421,12099.78,1521823,346.7,75159,94788.68
2/27/2022,2011.01,1202040,217.33,6301,3055.47,136812,0,0,333.47,210334,802.26,48693,10971.35,1027349,271.57,74580,72195.15
3/6/2022,4305.08,2260081,174.93,5184,2386.1,100988,0,0,0,0,693.24,49880,8519.2,582164,307.13,62483,60487.27
3/13/2022,5980.82,3609771,159.92,4693,2084.22,84128,0,0,0,0,750.21,52158,8001.3,609975,322.54,67202,65711.44
3/20/2022,4859.09,2704101,143.87,5109,2525.96,107684,0,0,0,0,760.48,56000,8510.47,716339,329.27,86601,70517.45
3/27/2022,3594.04,1950042,172.08,5030,1876.43,90356,0,0,3,867,702.14,54650,6992.08,646566,342.9,86107,62842.88
4/3/2022,5202.57,2913004,178.53,5258,2255.64,108990,0,0,0,0,760.34,61174,8923.02,715919,346,87419,74207.54
4/10/2022,4995.09,3026163,158.48,4817,1947.15,92747,0,0,0,0,944.17,52954,8379.78,664651,297.3,65918,70966.32
4/17/2022,3880.56,2283813,189.91,4939,2353.82,95253,0,0,0,0,943.81,51538,8761.29,719321,294.63,74145,76873.39
4/24/2022,3171.53,1507240,151.05,4007,2490.96,95387,0,0,0,0,878.79,55974,8770.3,724927,286.91,68168,77129.27
5/1/2022,4619.99,1826193,69.64,2539,1883.48,71762,0,0,1.01,439,703.35,48484,9945.91,759673,244.04,51488,78340.87
5/8/2022,4761.02,1430496,128.66,5127,2928.99,135161,0,0,0,0,886.33,55737,10171.98,795107,390.51,75819,93385.76
5/15/2022,4373.88,1269333,98.89,4889,2923.93,129704,0,0,0,0,739.43,60025,9981.21,845391,317.05,75760,91691.71
5/22/2022,3161.24,881529,99.86,4557,2262.2,113792,0,0,0,0,727.16,71320,7955.4,802513,329.95,64480,79135.81
5/29/2022,3388.46,837508,58.46,2878,1456.71,73627,0,0,0,26,556.66,55118,6413.74,666619,231.47,57258,67124.75
6/5/2022,5225.4,1391740,121.16,5375,2482.9,138422,0,0,0,0,868.4,93177,10445.36,1021251,429.57,110479,92662.71
6/12/2022,4051.24,974563,114.99,5817,2623.66,135145,0,0,0,0,849.63,86680,10480.51,1007381,412.75,118309,93899.26
6/19/2022,3791.33,866495,102.89,5935,2578.86,142183,0,0,0,0,816.86,90860,11924.8,1125825,386.26,105685,86451.19
6/26/2022,3741.58,902367,68.75,2334,830.22,50562,0,0,3,92,397.46,43591,5461.35,696983,208.3,66457,52876.85
7/3/2022,4444.76,1377252,158.14,6154,2648.76,133702,0,0,0,0,835.33,83036,11338.65,1423444,384.24,142115,77763.57
7/10/2022,4810.62,1694654,190.71,8484,2536.98,147509,0,0,0,0,1785.29,142202,13224.85,1328100,557.38,161965,96488.11
7/17/2022,4188.66,2155560,126.14,6205,1525.57,75987,0,0,0,0,1784.34,168729,7522.91,769720,487.68,160299,86981.7
7/24/2022,2936.7,1356696,139.08,5822,478.62,35470,0,0,0,0,703.76,69508,1625.88,210225,403.89,146059,45993.09
7/31/2022,4147.33,1590957,133.02,5991,527.52,32795,0,0,3,1248,788.56,81688,2736.62,311787,366.03,141711,53469.9
8/7/2022,4313.8,1394133,85.86,5947,755.16,54877,0,0,0,0,1286.4,119556,8641.51,1255587,360.21,150252,82264.34
8/14/2022,4125.15,1398363,70.08,5046,1090.63,70843,0,0,0,0,1570.93,149078,10525.6,1144564,404.31,133581,94981.76
8/21/2022,3888.36,1082142,63.83,5899,1399.89,95653,0,0,0,0,1806.95,181041,11038.95,1240628,351.69,128456,107762.32
8/28/2022,3698.67,1336523,60.39,4564,1265.21,84899,0,0,5.05,694,1472.36,141281,10025.9,1129948,348.36,119905,91786.79
9/4/2022,5015.92,1708288,82.02,5908,1515.57,94497,0,0,19.21,2214,1431.92,187627,11079.22,1566382,396.35,123910,95716.28
9/11/2022,4834.46,1337688,96.78,5933,1501.52,95709,0,0,18.35,2088,1325.03,157250,10047.27,1274661,380.46,139956,96356.68
9/18/2022,3806.78,1047578,122.26,4353,940.73,61300,0,0,188.68,148971,1105.53,126482,6696.95,1296652,257.17,92646,78088.36
9/25/2022,2677.36,1036015,31,1194,203.2,8244,0,0,249.38,198840,330.11,28834,2940.74,1125172,34.81,7621,42186.75
10/2/2022,3779.13,1653078,155.77,4814,632.49,43788,0,0,242.26,157019,685.2,61354,5387.87,1425619,238.19,78373,64524.67
10/9/2022,5312.02,1984016,175.43,5014,1060.32,81338,0,0,210.02,391621,1174.1,91727,7272.04,1669955,286.07,117156,74452.65
10/16/2022,4464.47,1607938,98,5406,1020.22,105580,0,0,177.67,106198,1290.81,117247,7752.13,1700271,248.49,102699,81683.3
10/23/2022,3559.41,1507142,52.75,3061,851.63,64738,0,0,196.85,98921,1291.88,119941,7776.11,1808576,265.53,116255,77865.46
10/30/2022,4049.64,1459939,50.48,1351,700.79,31001,0,0,181.33,101647,1361.43,116129,7618.18,1473468,310.12,111732,80522.8
11/6/2022,5409.65,1857927,34.21,1413,575.98,25855,0,0,43.3,31930,1219.86,115219,5549.95,920604,288.93,93253,76149.2
11/13/2022,4649.92,1924032,36.73,1657,272.98,13055,0,0,0,0,1235.08,115582,3871.13,518228,287.07,109187,72237.43
11/20/2022,3543.29,1327018,46.22,1432,619.62,24644,0,0,0,0,1139.33,89005,4648.43,507424,255.51,103789,68957.55
11/27/2022,2725.05,1005730,28.5,910,606.92,30649,0,0,4,167,1218.47,75990,5525.68,713164,296.8,139079,69932.38
12/4/2022,3383.97,1320128,15.48,875,311.03,19758,0,0,0,0,824.89,60083,3698.65,518018,270.27,125783,67218.8
12/11/2022,2895,1190967,6.82,692,209.28,14667,0,0,0,0,676.05,49240,2239.87,256383,185.75,78687,55854.92
12/18/2022,2737.26,882431,6.3,569,211.32,15123,0,0,0,0,565.08,45082,2056.61,225214,184.02,83153,47125.8
12/25/2022,1565.9,578677,12.12,721,209.29,11039,0,0,0,0,551.59,57765,3349.49,384723,180.65,68863,57962.33
1/1/2023,2727.21,1225096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17983.44
1/8/2023,5743.85,2159579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28086.11
1/15/2023,6395.5,1825231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32302.2
1/22/2023,4194.49,1202898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30241.66
1/29/2023,4822.26,1423204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30011.26
2/5/2023,6231.69,2047153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27070.99
2/12/2023,6092.03,1851905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30726.13
2/19/2023,5202.96,1985213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28360.07
2/26/2023,2203.77,703040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8751.27
3/5/2023,5145.94,1532355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7312.86
